northboundVersion,apiName,headers,httpMethod,endpoint,jsonBody,southboundVersion,southboundMethod
v1,Get Article or Topic by slug,Session-Id,,,"{ ""slug"" : ""example"" }",V1,
v1,Get suggested and popular articles,Session-Id,,,{ },V1,
v1,Grouped search,Session-Id,,,"{ ""query"" : ""example"" }",V1,
v1,Post a feedback,Session-Id;Virgin-Device-Id,,,"{ ""message"" : ""example"", ""phone_code"" : ""example"" }",V1,submit_ticket
v1,Post NPS feedback,,,,"{ ""comment"" : ""example"", ""rating"" : ""example"" }",V1,submit_rating
v1,Get the Topics,Session-Id,,,{ },V1,
v1,Get a topic by ID,Session-Id,,,{ },V1,
v1,Search for an article,Session-Id,,,"{ ""query"" : ""example"" }",V1,
v1,Get an Article,,,,"{ ""id"" : ""example"" }",V1,
v1,Check if there is a major app update,Virgin-Api-Version;Virgin-Device-Os,,,,,
v1,Lookups,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,Lookups
v1,Check Customer With OTP,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,CheckCustomerWithOTP
v1,Report Fraud,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""ReportingMSISDN"" : ""example"", ""ReportedMSISDN"" : ""example"", ""UserName"" : ""example"", ""FraudRequestTypeID"" : 123, ""Notes"" : ""example"", ""OTP"" : ""example"" }",V1,InsertFraud
v1,friend request,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,friend_request
v1,confirm_with_data_share ,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,confirm_with_data_share
v1,Delete Friend ,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,delete_friend
v1,Get Game Page info,Session-Id;Virgin-Device-Id;Accept-Version,GET,gamification/game_information,"{ ""number"" : ""example"" }",V1,get_game_info
v1,get wp prize history url,Session-Id;Virgin-Device-Id;Accept-Version,GET,gamification/get_wp_prize_history_url,"{ ""number"" : ""example"" }",V1,getWPPrizeHistoryUrl
v1,Get TWT eligibility,Session-Id;Virgin-Device-Id;Accept-Version,GET,gamification/twt_eligibility,"{ ""number"" : ""example"" }",V1,get_twt_eligibility
v1,Signup,Virgin-Brand,,,"{ ""graph_id"" : ""example"" }",,read
v1,[DEPRECATED] demo_theme,,,,,,
v1,theme,Virgin-Brand,,,,,read
v1,usage_summary_download,Session-Id;Virgin-Device-Id;Accept-Version,GET,history/usage_summary_download,"{ ""number"" : ""example"" }",V1,usage_summary_download
v1,Usage Summary,Session-Id;Virgin-Device-Id;Accept-Version,GET,history/usage_summary,"{ ""number"" : ""example"" }",V1,usage_summary
v1,Verify Email Call Back,Session-Id;Virgin-Device-Id;Accept-Version,GET,history/email_verify_callback,"{ ""email"" : ""example"" }",V1,email_verify_callback
v1,rewards,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,reward_history
v1,Usage,Session-Id;Virgin-Device-Id;Accept-Version,GET,history/usage,"{ ""plan_types"" : ""example"", ""number"" : ""example"", ""filter_id"" : ""example"" }",V1,usage_history_summary
v1,Usage,Session-Id;Virgin-Device-Id;Accept-Version,GET,history/usage_details,"{ ""plan_types"" : ""example"", ""number"" : ""example"", ""filter_id"" : ""example"" }",V1,usage_history_summary_details
v1,Usage,Session-Id;Virgin-Device-Id;Accept-Version,GET,history/usage_daily,"{ ""plan_types"" : ""example"", ""number"" : ""example"", ""filter_id"" : ""example"" }",V1,usage_history_summary_daily
v1,Transactons,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""from"" : 123, ""to"" : 123 }",V1,payment_history
v1,Spending,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""from"" : 123, ""to"" : 123 }",V1,spending_payment_history
v1,PDF,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""from"" : 123, ""to"" : 123 }",V1,payment_history_pdf
v1,Delete All,Session-Id;Accept-Version;Virgin-Device-Id,,,,V1,delete_all
v1,Get messages,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,get_messages
v1,Delete message,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""message_id"" : 123 }",V1,remove_message
v1,predefined,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""process"" : ""example"", ""product_code"" : ""example"" }",V1,predefined
v1,CountriesHistory,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""process"" : ""example"" }",V1,countries_history
v1,all_countries_rate,Session-Id;Accept-Version;Virgin-Device-Id,,,{ },V1,all_countries_rate
v1,subscription,Session-Id;Virgin-Device-Id;Accept-Version,POST,international/subscription,"{ ""pack_code"" : ""example"", ""country_iso3"" : ""example"" }",V1,subscription
v1,available,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""process"" : ""example"", ""product_code"" : ""example"", ""country_code"" : ""example"" }",V1,available
v1,denominations,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,denominations
v1,request_otp,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,request_otp
v1,submit,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,submit
v1,d3 micro-services,,,,,,
v1,internal Api duration,,,,,,
v1,get_dashboard_data,Session-Id;Virgin-Device-Id;Accept-Version;Userip;Channelid;Loginid;Sectokn,,,"{ ""number"" : ""example"", ""api_key"" : ""example"" }",V1,get_dashboard_data
v1,get_voucher_list,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""api_key"" : ""example"" }",V1,get_voucher_ist
v1,total_savings,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""api_key"" : ""example"" }",V1,total_savings
v1,save_feedback,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""feedback_content"" : ""example"", ""api_key"" : ""example"" }",V1,save_feedback
v1,add_to_favorite,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""offer_id"" : ""example"", ""fav_status"" : ""example"", ""api_key"" : ""example"" }",V1,add_to_favorite
v1,get_offers,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""api_key"" : ""example"", ""category_id"" : ""example"" }",V1,get_offers
v1,get_category_Offer_details,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""offer_id"" : ""example"", ""api_key"" : ""example"" }",V1,get_category_Offer_details
v1,get_favourite_offer,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""api_key"" : ""example"" }",V1,get_favourite_offer
v1,get_near_by_offers,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""latitude"" : ""example"", ""longitude"" : ""example"", ""api_key"" : ""example"" }",V1,get_near_by_offers
v1,search_offers,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""search_key"" : ""example"", ""api_key"" : ""example"" }",V1,search_offers
v1,get_app_voucher,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""offer_id"" : ""example"", ""api_key"" : ""example"" }",V1,get_app_voucher
v1,add_review_rating,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""offer_id"" : ""example"", ""rating"" : ""example"", ""review"" : ""example"", ""api_key"" : ""example"" }",V1,add_review_rating
v1,app_voucher_redeem,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""offer_id"" : ""example"", ""coupon_code"" : ""example"", ""api_key"" : ""example"" }",V1,app_voucher_redeem
v1,get Saved Voucher,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""api_key"" : ""example"" }",V1,get_saved_voucher
v1,what_is_my_ip,,,,,V1,
v1,Business Configuration,Virgin-Api-Version;Virgin-Device-Os,GET,me/business_configuration,,V1,business_configuration
v1,current timestamp,,GET,me/current_timestamp,,V1,current_billing_month
v1,Current Balance,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/current_balance,"{ ""number"" : ""example"" }",V1,current_balance
v1,line validity status,Session-Id;Accept-Version;Virgin-Device-Id,,,"{ ""number"" : ""example"" }",V1,LineValidityStatus
v1,Recharge By Voucher,Session-Id;Virgin-Device-Id;Accept-Version,POST,me/recharge_by_voucher,"{ ""number"" : ""example"", ""code"" : ""example"" }",V1,recharge_by_voucher
v1,[Deprecated] Recharge Current Balance,Session-Id,POST,me/recharge,"{ ""number"" : ""example"", ""amount"" : 123 }",V1,recharge_account
v1,Spending Limit,Session-Id,GET,me/spending_limit,"{ ""number"" : ""example"" }",V1,spending_limit
v1,Set Spending Limit,Session-Id,POST,me/spending_limit,"{ ""number"" : ""example"", ""value"" : ""example"" }",V1,set_spending_limit
v1,[Deprecated] Get Auto Recharge Details,Session-Id;Accept-Version,GET,me/auto_recharge,"{ ""number"" : ""example"" }",V1,auto_recharge
v1,[Depreacted] Set Auto Recharge Details,Session-Id,POST,me/auto_recharge,"{ ""number"" : ""example"", ""minimum_recharge_balance"" : ""example"", ""amount"" : ""example"", ""ask_me"" : true }",V1,set_auto_recharge
v1,Credit Cards,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/credit_card,,V1,credit_card
v1,[Depreacted] -- Summary:,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/summary,"{ ""number"" : ""example"" }",V1,
v1,spendings,Session-Id,GET,me/spendings,"{ ""number"" : ""example"", ""from"" : ""example"", ""to"" : ""example"" }",V1,spending
v1,payment_history,Session-Id;Accept-Version,GET,me/payment_history,"{ ""number"" : ""example"", ""from"" : 123, ""to"" : 123 }",V1,payment_history
v1,Change the number,Session-Id,POST,me/change_number,"{ ""old_number"" : ""example"", ""new_number"" : ""example"" }",V1,change_number
v1,Get Change the number fees,Session-Id,GET,me/change_number,,V1,change_number_fees
v1,Get Predfined bundles,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/predfined_bundles,{ },V1,predfined_bundles
v1,Subscribe to Predfined bundles,Session-Id,POST,me/predfined_bundles,"{ ""number"" : ""example"", ""bundle_id"" : ""example"" }",V1,subscribe_predfined_bundles
v1,home,Session-Id,GET,me/home,{ },V1,
v1,"[Deprecated: Use ""OCR"" instead]Verification Details",Session-Id,POST,me/verification_details,"{ ""first_name"" : ""example"", ""sur_name"" : ""example"", ""date_of_birth"" : ""value"", ""nationality"" : ""example"" }",V1,save_verification_details
v1,Save OCR details,Session-Id,POST,me/ocr,"{ ""first_name"" : ""example"", ""sur_name"" : ""example"", ""date_of_birth"" : ""value"", ""nationality"" : ""example"" }",V1,flow_status
v1,Update MNP OCR details,Session-Id,POST,me/mnp_ocr,"{ ""first_name"" : ""example"", ""sur_name"" : ""example"", ""date_of_birth"" : ""value"", ""nationality"" : ""example"" }",V1,mnp_ocr
v1,Save Signature,Session-Id,POST,me/save_signature,"{ ""document"" : ""example"", ""number"" : ""example"" }",V1,save_signature
v1,flow status,Session-Id;Virgin-Device-Id,GET,me/flow_status,,V1,flow_status
v1,SET flow status,Session-Id;Virgin-Device-Id;Accept-Version,POST,me/flow_status,"{ ""key"" : ""example"", ""value"" : true }",V1,set_flow_status
v1,is Activated: Same as /sim/is_activated,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/is_activated,"{ ""booking_code"" : ""example"" }",V1,is_activated
v1,activation readiness,Session-Id,GET,me/is_activation_ready,,V1,is_activation_ready
v1,is Verified,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/is_verified,,V1,is_verified
v1,Get Scheduled Actions,Session-Id;Virgin-Device-Id,GET,me/scheduled_actions,,V1,scheduled_actions
v1,Preferences,Session-Id;Virgin-Device-Id,GET,me/preferences,"{ ""number"" : ""example"" }",V1,get_preferences
v1,SET Preferences,Session-Id;Virgin-Device-Id,POST,me/preferences,"{ ""number"" : ""example"", ""preferences"" : ""example"" }",V1,post_preferences
v1,SET NPS,Session-Id;Virgin-Device-Id,POST,me/nps,"{ ""rating"" : 123, ""comment"" : ""example"" }",V1,nps
v1,usage [Depricated]: Please use /history/usage,Session-Id;Virgin-Device-Id;Accept-Version,GET,me/usage,"{ ""plan_types"" : ""example"", ""number"" : ""example"", ""filter_id"" : ""example"" }",V1,usage_history_summary
v1,submit_sim_request,Session-Id;Virgin-Device-Id;Accept-Version,POST,me/submit_sim_request,"{ ""fullname"" : ""example"", ""number"" : ""example"", ""email"" : ""example"", ""address"" : ""example"" }",V1,submit_sim_request
v1,submit_customer_contact,Session-Id;Virgin-Device-Id;Accept-Version,POST,me/submit_customer_contact,"{ ""name"" : ""example"", ""contact_number"" : ""example"" }",V1,submit_customer_contact
v1,Summary,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""page"" : 123, ""page_count"" : 123 }",V1,message_center_summary
v1,message,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""message_id"" : 123 }",V1,message_center_message
v1,message,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""message_ids"" : ""example"" }",V1,message_center_delete_messages
v1,Code Details,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,codeDetails
v1,Recent Refeerees,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,recentReferees
v1,Check,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,check
v1,Promotions,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,promotions
v1,Apple Code,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""code"" : ""example"" }",V1,code
v1,cancel,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,cancel_mnp
v1,available_operators,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,available_operators
v1,otp,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,otp
v1,CheckStatus,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,check_status
v1,Submit Request,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""otp"" : ""example"", ""operator_id"" : 123, ""contact_number"" : ""example"", ""mnp_number"" : ""example"" }",V1,submit_request
v1,ReSubmit Request,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""email"" : ""example"", ""process"" : ""example"" }",V1,resubmit_request
v1,acknowledge_request_status,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,acknowledge_request_status
v1,MNP Outstanding,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""otp"" : ""example"" }",V1,mnp_outstanding
v1,Number Details,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,number_details
v1,Deliver iOS notification,,,,"{ ""token"" : ""example"", ""message"" : ""example"", ""topic_id"" : 123, ""topic_type"" : 123 }",V1,
v1,Deliver Android notification,,,,"{ ""token"" : ""example"", ""message"" : ""example"", ""topic_id"" : 123, ""topic_type"" : 123 }",V1,
v1,set_avatar_name,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""avatar_name"" : ""example"" }",V1,set_avatar_name
v1,Initial Reservation,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,initial_reservation
v1,Check if the number is a VirginMobile number,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,is_virgin
v1,To cancel the initial reservation for specific MSISDN,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,cancel_initial_reservation
v1,Initial Reservation,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,initial_booking_numbers
v1,Search for a number,Session-Id;Virgin-Device-Id,POST,numbers/search,"{ ""per_page"" : 123 }",V1,get_available_numbers
v1,[Deprecated - Use: commit_number] Commit booking for a number if not a 3d Secure,Session-Id,POST,numbers/confirm,"{ ""booking_code"" : ""example"", ""alias"" : ""example"" }",V1,register_alias
v1,Commit booking for a number if response is not 3d Secure,Session-Id;Virgin-Device-Id,POST,numbers/commit_number,"{ ""booking_code"" : ""example"" }",V1,register_alias
v1,Commit Number and Confirm 3D secure,Session-Id;Virgin-Device-Id;Accept-Version,POST,numbers/commit_number_and_confirm_3d_secure,"{ ""order_id"" : ""example"", ""status"" : ""example"", ""booking_code"" : ""example"" }",V1,confirm_registration_and_commit_number
v1,Remove Confirmed Booking,Session-Id,DELETE,numbers/confirm,"{ ""booking_code"" : ""example"" }",V1,cancel_commit_reservation
v1,[Deprecated - use /credit_cards/confirm_3d_secure] Confirm 3D secure Transaction,Session-Id,POST,numbers/confirm_3d_secure,"{ ""order_id"" : ""example"", ""status"" : ""example"" }",V1,confirm_commit_reservation
v1,Reserve Number Without Check,Session-Id,POST,numbers/reserve_number_without_check,"{ ""number"" : ""example"" }",V1,reserve_number_without_check
v1,Update Number Tag Name,Session-Id,PUT,numbers/update_number_tag_name,"{ ""number"" : ""example"", ""tag_name"" : ""example"" }",V1,update_number_tag_name
v1,UnFreeze Number,Session-Id,POST,numbers/unfreeze,,V1,unfreeze
v1,Random Reservation,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,random_reservation
v1,Vanity Detail,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,vanity_details
v1,Get Numbes based on reservation types,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""reservation_types"" : ""example"" }",V1,numbers_based_on_reservation
v1,Random Number Confirmation,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,random_confirmation
v1,EPass,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""content"" : ""example"" }",V1,epass
v1,List,Session-Id;Virgin-Device-Id;Accept-Version,,,{ },V1,list
v1,Apply,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""promotion_id"" : ""example"" }",V1,apply
v1,Remove,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""promotion_id"" : ""example"" }",V1,remove
v1,Request otp,Session-Id;Virgin-Device-Id;Accept-Version,POST,otp_service/request_otp,"{ ""number"" : ""example"", ""flow_type"" : ""example"" }",V1,send_otp
v1,Validate Otp,Session-Id;Virgin-Device-Id;Accept-Version,POST,otp_service/validate_otp,"{ ""number"" : ""example"", ""flow_type"" : ""example"", ""otp"" : ""example"" }",V1,validate_otp
v1,Check and Submit PACI,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""civil_id"" : ""example"" }",V1,check_submit
v1,Check Expiry Date,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,check_expiry_date
v1,Check Status,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,status
v1,Current,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,get_current_pack
v1,available,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,get_available_pack
v1,Subscribe,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""pack_code"" : ""example"" }",V1,subscribe_pack
v1,Pack Details,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""pack_id"" : ""example"" }",V1,get_pack_details
v1,Pack Opt In,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"" }",V1,pack_opt_in
v1,Evaluate Content Services,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""code"" : ""example"", ""service_ids"" : ""example"" }",V1,evaluate_content_services
v1,Request Password Change,Session-Id;Virgin-Device-Id;Accept-Version,POST,password/reset,"{ ""email"" : ""example"" }",V1,send_reset_password_email
v1,Create/Set Password for a user,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""email"" : ""example"", ""password"" : ""example"" }",V1,set_password
v1,Change User Password,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""old_password"" : ""example"", ""new_password"" : ""example"" }",V1,change_password
v1,Verify Password,Session-Id;Virgin-Device-Id;Accept-Version,POST,password/verify,"{ ""password"" : ""example"" }",V1,verify_password
v1,Validate Verfication Code,Session-Id;Virgin-Device-Id;Accept-Version,POST,password/validate_verification_code,"{ ""code"" : ""example"" }",V1,validate_verification_code
v1,Reset Password OTP,Session-Id;Virgin-Device-Id;Accept-Version,POST,password/reset_otp,"{ ""number"" : ""example"" }",V1,reset_password_otp
v1,set_default_payment_method,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""payment_method_id"" : 123 }",V1,set_default_payment_method
v1,Pay ESIM,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""payment_method_id"" : 123, ""cvv"" : ""example"" }",V1,pay_esim
v1,user_payments_methods,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,user_payments_methods
v1,remove_payments_methods,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""payment_method_id"" : 123 }",V1,remove_payments_methods
v1,Confirm Online Payment Transaction,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""order_id"" : ""example"", ""status"" : ""example"" }",V1,confirm
v1,plan,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""transaction_type"" : 123, ""cvv"" : ""example"" }",V1,plan
v1,plan with alias,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""alias"" : ""example"", ""cvv"" : ""example"", ""customer_name"" : ""example"" }",V1,plan_with_alias
v1,Recharge,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""cvv"" : ""example"", ""amount"" : 123 }",V1,recharge
v1,cancel delivery,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""reason"" : ""example"", ""cvv"" : ""example"" }",V1,delivery_cancel
v1,Change the number,Session-Id;Virgin-Device-Id;Accept-Version,POST,payments/change_number,"{ ""old_number"" : ""example"", ""new_number"" : ""example"", ""cvv"" : ""example"" }",V1,change_number
v1,Get Payments,Session-Id;Virgin-Device-Id;Accept-Version,GET,payments/pending,,V1,pending
v1,register card with recharge,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""alias"" : ""example"", ""cvv"" : ""example"", ""customer_name"" : ""example"" }",V1,register_card_with_recharge
v1,Cart  Count,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,cart_items_count
v1,[OMAN ONLY] recharge_using_debit_card,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""amount"" : 1.23, ""number"" : ""example"" }",V1,recharge_using_debit_card
v1,[OMAN ONLY] confirm_recharge_using_debit_card,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""order_id"" : ""example"", ""status"" : ""example"", ""number"" : ""example"" }",V1,confirm_recharge_using_debit_card
v1,Pay Onboarding,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""alias_"" : ""example"", ""customer_name"" : ""example"", ""cvv"" : ""example"" }",V1,payOnboarding
v1,Pay Selfcare,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""amount"" : ""example"", ""alias_"" : ""example"", ""customer_name"" : ""example"", ""cvv"" : ""example"", ""skip"" : true }",V1,paySelfcare
v1,KNET Payment,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""amount"" : ""example"", ""process"" : ""example"" }",V1,knet_payment
v1,Confirm Zero Payment,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,confirm_zero_payment
v1,Complete Onboarding Payment,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""cvv"" : ""example"", ""payment_method_id"" : ""example"" }",V1,CompleteOnboardingPayment
v1,KnetOnlineOneOff,Session-Id;Virgin-Device-Id;Accept-Version,,,"{ ""number"" : ""example"", ""amount"" : ""example"" }",V1,KnetOnlineOneOff
v1,Check authorization,Session-Id;Virgin-Device-Id;Accept-Version,,,,V1,checkAuthorizationStatus
v1,"initialize paypal, by returing an authrization URL",Session-Id,,,,V1,register_paypal
